,Country,Region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Albania,Europe,0.67,0.67,0.67,0.64,0.69,0.7,0.7,0.73,0.73,0.77
1,Algeria,Africa,0.61,0.6,0.61,0.6,0.62,0.63,0.64,0.63,0.63,0.63
2,Angola,Africa,0.67,0.66,,0.67,0.63,0.64,0.64,0.64,0.63,0.66
3,Argentina,South America,0.72,0.72,0.72,0.72,0.73,0.73,0.74,0.73,0.73,0.75
4,Armenia,Europe and Central Asia,0.67,0.67,0.66,0.66,0.66,0.67,0.67,0.68,0.68,0.68
5,Australia,Oceania,0.73,0.73,0.73,0.74,0.74,0.73,0.72,0.73,0.73,0.73
6,Austria,Europe,0.71,0.72,0.74,0.74,0.73,0.73,0.72,0.71,0.72,0.74
7,Azerbaijan,Europe and Central Asia,0.64,0.66,0.65,0.66,0.68,0.68,0.68,0.68,0.68,0.69
8,Bahamas,North America,0.71,0.73,0.72,0.71,0.73,0.73,0.73,0.74,0.74,0.72
9,Bahrain,Middle East,0.62,0.62,0.63,0.63,0.63,0.64,0.62,0.63,0.63,0.63
10,Bangladesh,South Asia,0.67,0.68,0.67,0.68,0.7,0.7,0.7,0.72,0.72,0.73
11,Barbados,North America,0.72,0.72,0.72,0.73,0.73,0.74,0.74,0.75,0.75,0.75
12,Belarus,Europe,,,,,,0.73,0.74,0.74,0.75,0.75
13,Belgium,Europe,0.75,0.75,0.77,0.77,0.78,0.75,0.74,0.74,0.74,0.75
14,Belize,North America,0.65,0.65,0.65,0.64,0.67,0.67,0.68,0.69,0.66,0.67
15,Benin,Africa,0.57,0.58,0.63,0.59,,0.62,0.64,0.65,0.65,0.66
16,Bhutan,South Asia,,,,0.67,0.64,0.65,0.64,0.64,0.64,0.64
17,Bolivia,South America,0.68,0.69,0.72,0.73,0.7,0.75,0.75,0.76,0.75,0.73
18,Botswana,Africa,0.69,0.68,0.67,0.68,0.71,0.71,0.72,0.72,0.72,0.71
19,Brazil,South America,0.67,0.67,0.69,0.69,0.69,0.69,0.69,0.68,0.68,0.69
20,Brunei Darussalam,Southeast Asia,0.67,0.68,0.68,0.67,0.67,0.68,0.67,0.67,0.69,0.69
21,Bulgaria,Europe,0.7,0.7,0.7,0.71,0.74,0.72,0.73,0.76,0.76,0.73
22,Burkina Faso,Africa,0.62,0.62,0.65,0.65,0.65,0.65,0.64,0.65,0.63,0.64
23,Burundi,Africa,,0.73,0.73,0.74,0.76,0.75,0.77,0.76,0.74,0.74
24,Cambodia,Southeast Asia,0.65,0.65,0.65,0.65,0.65,0.66,0.66,0.68,0.68,0.69
25,Cameroon,Africa,0.61,0.61,0.63,0.66,,0.68,0.68,0.69,0.71,0.69
26,Canada,North America,0.74,0.74,0.74,0.74,0.75,0.74,0.73,0.77,0.77,0.77
27,Cape Verde,Africa,,,0.72,0.71,0.71,0.72,0.73,0.69,0.7,0.72
28,Chad,Africa,0.53,0.53,0.56,0.56,0.58,0.58,0.59,0.57,0.58,0.6
29,Chile,South America,0.7,0.7,0.67,0.67,0.7,0.7,0.7,0.7,0.72,0.72
30,China,East Asia,0.69,0.69,0.69,0.69,0.68,0.68,0.68,0.67,0.67,0.68
31,Colombia,South America,0.69,0.67,0.69,0.72,0.71,0.72,0.73,0.73,0.73,0.76
32,Costa Rica,North America,0.72,0.73,0.72,0.72,0.72,0.73,0.74,0.73,0.75,0.78
33,Côte d'Ivoire,Africa,0.57,0.58,0.58,0.58,0.59,0.61,0.6,0.61,0.63,0.61
34,Croatia,Europe,0.69,0.7,0.71,0.71,0.71,0.71,0.7,0.71,0.71,0.72
35,Cuba,North America,0.73,0.74,0.74,0.75,0.73,0.74,0.74,0.74,0.75,0.75
36,Cyprus,Europe and Middle East,0.66,0.66,0.67,0.68,0.67,0.67,0.68,0.68,0.68,0.69
37,Czech Republic,Europe,0.68,0.68,0.68,0.68,0.67,0.69,0.69,0.69,0.69,0.71
38,Denmark,Europe,0.77,0.78,0.78,0.78,0.8,0.77,0.75,0.78,0.78,0.78
39,Dominican Republic,North America,0.68,0.67,0.67,0.69,0.69,0.69,0.68,0.7,0.7,0.7
40,Ecuador,South America,0.71,0.7,0.72,0.74,0.75,0.74,0.73,0.72,0.73,0.73
41,Egypt,Middle East and Africa,0.59,0.59,0.6,0.59,0.61,0.6,0.61,0.61,0.61,0.63
42,El Salvador,North America,0.66,0.66,0.66,0.66,0.69,0.71,0.7,0.7,0.69,0.71
43,Estonia,Europe,0.7,0.7,0.7,0.7,0.7,0.75,0.75,0.73,0.73,0.75
44,Ethiopia,Africa,0.6,0.61,0.62,0.62,0.61,0.64,0.66,0.66,0.66,0.7
45,Fiji,Oceania,0.63,0.63,0.63,0.63,0.63,0.64,,,0.67,0.68
46,Finland,Europe,0.83,0.84,0.85,0.84,0.85,0.85,0.84,0.82,0.82,0.83
47,France,Europe,0.7,0.7,0.7,0.71,0.76,0.76,0.76,0.78,0.78,0.78
48,"Gambia, The",Africa,0.68,0.68,0.66,,,0.67,0.67,0.65,0.64,0.63
49,Georgia,Europe and Central Asia,0.66,0.66,0.67,0.68,0.69,0.69,0.68,0.68,0.68,0.71
50,Germany,Europe,0.75,0.76,0.76,0.76,0.78,0.78,0.77,0.78,0.78,0.79
51,Ghana,Africa,0.68,0.68,0.68,0.68,0.67,0.7,0.7,0.7,0.69,0.67
52,Greece,Europe,0.69,0.69,0.67,0.68,0.68,0.68,0.68,0.69,0.7,0.7
53,Guatemala,North America,0.62,0.62,0.63,0.63,0.68,0.67,0.67,0.67,0.67,0.67
54,Guinea,Africa,,,,,,0.62,0.64,0.66,0.66,0.64
55,Guyana,South America,0.71,0.71,0.71,0.71,0.7,0.7,,,,
56,Honduras,North America,0.69,0.69,0.68,0.68,0.69,0.69,0.69,0.71,0.71,0.72
57,Hungary,Europe,0.67,0.66,0.67,0.67,0.68,0.67,0.67,0.67,0.67,0.68
58,Iceland,Europe,0.85,0.85,0.86,0.87,0.86,0.88,0.87,0.88,0.86,0.88
59,India,South Asia,0.62,0.62,0.64,0.66,0.65,0.66,0.68,0.67,0.66,0.67
60,Indonesia,Southeast Asia,0.66,0.66,0.66,0.66,0.67,0.68,0.68,0.69,0.69,0.7
61,"Iran, Islamic Rep.",Middle East,0.59,0.59,0.59,0.58,0.58,0.58,0.59,0.58,0.59,0.58
62,Ireland,Europe,0.78,0.78,0.78,0.78,0.78,0.81,0.8,0.79,0.8,0.8
63,Israel,Middle East,0.7,0.69,0.7,0.7,0.7,0.71,0.72,0.72,0.72,0.72
64,Italy,Europe,0.68,0.68,0.67,0.69,0.7,0.73,0.72,0.69,0.71,0.71
65,Jamaica,North America,0.7,0.7,0.7,0.71,0.71,0.7,0.72,0.72,0.72,0.74
66,Japan,East Asia,0.65,0.65,0.65,0.65,0.66,0.67,0.66,0.66,0.66,0.65
67,Jordan,Middle East,0.6,0.61,0.61,0.61,0.6,0.59,0.6,0.6,0.6,0.62
68,Kazakhstan,Central Asia,0.71,0.7,0.72,0.72,0.72,0.72,0.72,0.71,0.71,0.71
69,Kenya,Africa,0.65,0.65,0.68,0.68,0.73,0.72,0.7,0.69,0.7,0.67
70,"Korea, Rep.",East Asia,0.63,0.63,0.64,0.64,0.64,0.65,0.65,0.65,0.66,0.67
71,Kuwait,Middle East,0.63,0.63,0.63,0.63,0.65,0.65,0.62,0.68,0.63,0.65
72,Kyrgyz Republic,Central Asia,0.7,0.7,0.7,0.69,0.7,0.69,0.69,0.69,0.69,0.69
73,Laos,Southeast Asia,,,,0.7,0.7,0.71,,0.7,0.75,0.73
74,Latvia,Europe,0.74,0.74,0.76,0.76,0.77,0.75,0.76,0.76,0.76,0.78
75,Lebanon,Middle East,0.61,0.61,0.6,0.6,0.59,0.6,0.6,0.6,0.6,0.6
76,Lesotho,Africa,0.77,0.77,0.76,0.75,0.73,0.71,0.71,0.7,0.69,0.7
77,Liberia,Africa,,,,,,0.65,0.65,0.67,0.68,0.68
78,Lithuania,Europe,0.71,0.71,0.72,0.73,0.72,0.74,0.74,0.74,0.75,0.74
79,Luxembourg,Europe,0.72,0.72,0.74,0.74,0.73,0.74,0.73,0.71,0.71,0.72
80,Macedonia,Europe,0.7,0.7,0.7,0.7,0.69,0.7,0.7,0.7,0.71,0.71
81,Madagascar,Africa,0.67,0.68,0.7,0.7,0.72,0.7,0.7,0.69,0.69,0.72
82,Malawi,Africa,0.68,0.68,0.72,0.71,0.73,0.7,0.7,0.67,0.66,0.66
83,Malaysia,Southeast Asia,0.65,0.65,0.65,0.65,0.65,0.66,0.67,0.67,0.68,0.68
84,Maldives,South Asia,0.65,0.65,0.66,0.66,0.66,0.65,0.65,0.67,0.66,0.65
85,Mali,Africa,0.57,0.58,0.58,0.59,0.58,0.6,0.59,0.58,0.58,0.62
86,Malta,Europe,0.67,0.67,0.67,0.68,0.67,0.67,0.66,0.68,0.69,0.69
87,Mauritania,Africa,0.62,0.62,0.61,0.58,0.6,0.61,0.62,0.61,0.61,0.61
88,Mauritius,Africa,0.65,0.65,0.65,0.66,0.65,0.65,0.65,0.66,0.66,0.66
89,Mexico,North America,0.66,0.66,0.67,0.69,0.69,0.7,0.7,0.69,0.72,0.75
90,Moldova,Europe,0.72,0.71,0.71,0.7,0.74,0.74,0.74,0.74,0.73,0.76
91,Mongolia,East Asia,0.72,0.71,0.71,0.72,0.72,0.71,0.7,0.71,0.71,0.71
92,Montenegro,Europe,,,,,,0.69,0.68,0.69,0.71,0.71
93,Morocco,Africa,0.58,0.58,0.58,0.58,0.6,0.59,0.6,0.6,0.61,0.6
94,Mozambique,Africa,0.73,0.73,0.74,0.73,0.74,0.74,0.75,0.74,0.72,0.72
95,Myanmar,Southeast Asia,,,,,,,,0.69,0.69,0.66
96,Namibia,Africa,0.72,0.72,0.71,0.71,0.72,0.76,0.76,0.78,0.79,0.78
97,Nepal,South Asia,0.61,0.59,0.6,0.61,0.65,0.66,0.66,0.66,0.67,0.68
98,Netherlands,Europe,0.74,0.75,0.77,0.76,0.77,0.78,0.76,0.74,0.75,0.74
99,New Zealand,Oceania,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.79,0.8,0.8
100,Nicaragua,North America,0.72,0.72,0.77,0.77,0.79,0.78,0.78,0.81,0.81,0.8
101,Nigeria,Africa,0.61,0.6,0.63,0.65,0.64,0.64,0.64,0.64,0.62,0.64
102,Norway,Europe,0.84,0.84,0.84,0.84,0.84,0.85,0.84,0.83,0.84,0.84
103,Oman,Middle East,0.6,0.59,0.6,0.61,0.61,0.6,0.61,,0.6,0.6
104,Pakistan,South Asia,0.55,0.56,0.55,0.55,0.55,0.56,0.56,0.55,0.55,0.56
105,Panama,Central America,0.71,0.7,0.71,0.72,0.72,0.77,0.72,0.72,0.72,0.73
106,Paraguay,South America,0.68,0.68,0.67,0.67,0.69,0.67,0.68,0.68,0.67,0.68
107,Peru,South America,0.69,0.68,0.67,0.68,0.72,0.68,0.69,0.72,0.72,0.71
108,Philippines,Southeast Asia,0.77,0.77,0.78,0.78,0.78,0.79,0.79,0.79,0.8,0.78
109,Poland,Europe,0.7,0.7,0.7,0.7,0.71,0.72,0.73,0.73,0.73,0.74
110,Portugal,Europe,0.72,0.71,0.71,0.71,0.72,0.73,0.74,0.73,0.73,0.74
111,Qatar,Middle East,0.61,0.62,0.63,0.63,0.64,0.64,0.64,0.63,0.63,0.63
112,Romania,Europe,0.68,0.68,0.69,0.69,0.69,0.69,0.69,0.71,0.71,0.72
113,Russian Federation,Europe and Northern Asia,0.7,0.7,0.7,0.7,0.69,0.69,0.69,0.7,0.7,0.71
114,Rwanda,Africa,,,,,,0.79,0.8,0.82,0.8,0.79
115,Saudi Arabia,Middle East,0.57,0.58,0.57,0.59,0.61,0.6,0.58,0.58,0.59,0.6
116,Senegal,Africa,0.64,0.66,0.67,0.69,0.69,0.7,0.68,0.68,0.68,0.68
117,Serbia,Europe,,,0.7,0.71,0.71,0.72,0.72,0.73,0.73,0.74
118,Singapore,Southeast Asia,0.69,0.69,0.7,0.7,0.7,0.71,0.71,0.7,0.71,0.72
119,Slovakia,Europe,0.68,0.68,0.68,0.69,0.68,0.68,0.68,0.69,0.69,0.72
120,Slovenia,Europe,0.7,0.7,0.71,0.72,0.74,0.78,0.79,0.8,0.78,0.74
121,South Africa,Africa,0.75,0.75,0.75,0.75,0.75,0.76,0.76,0.76,0.76,0.78
122,Spain,Europe,0.76,0.76,0.73,0.73,0.73,0.74,0.74,0.75,0.75,0.8
123,Sri Lanka,South Asia,0.75,0.72,0.71,0.7,0.69,0.69,0.67,0.67,0.68,0.68
124,Suriname,South America,0.64,0.64,0.64,0.64,0.65,0.67,0.68,0.69,0.7,0.71
125,Swaziland,Africa,,,,,,0.67,0.66,0.67,,
126,Sweden,Europe,0.8,0.8,0.82,0.81,0.82,0.82,0.82,0.82,0.82,0.82
127,Switzerland,Europe,0.76,0.76,0.77,0.77,0.78,0.78,0.78,0.76,0.76,0.78
128,Syria,Middle East,0.59,0.59,0.56,0.57,0.58,0.57,0.57,0.57,0.57,0.57
